紫葳科	Bignoniaceae
狸藻科	Lentibulariaceae
钟萼桐科	Schlegeliaceae
猩猩茶科	Thomandersiaceae
马鞭草科	Verbenaceae
唇形科	Lamiaceae
通泉草科	Mazaceae
透骨草科	Phrymaceae
美丽桐科	Wightiaceae
泡桐科	Paulowniaceae
列当科	Orobanchaceae
粗丝木科	Stemonuraceae
心翼果科	Cardiopteridaceae
叶顶花科	Phyllonomaceae
青荚叶科	Helwingiaceae
冬青科	Aquifoliaceae
守宫花科	Rousseaceae
桔梗科	Campanulaceae
五膜草科	Pentaphragmataceae
花柱草科	Stylidiaceae
岛海桐科	Alseuosmiaceae
新冬青科	Phellinaceae
雪叶木科	Argophyllaceae
睡菜科	Menyanthaceae
草海桐科	Goodeniaceae
萼角花科	Calyceraceae
菊科	Asteraceae
南鼠刺科	Escalloniaceae
弯药树科	Columelliaceae
绒球花科	Bruniaceae
盔被花科	Paracryphiaceae
荚蒾科	Viburnaceae
忍冬科	Caprifoliaceae
毛柴木科	Pennantiaceae
鞘柄木科	Torricelliaceae
南茱萸科	Griseliniaceae
海桐科	Pittosporaceae
五加科	Araliaceae
裂果枫科	Myodocarpaceae
伞形科	Apiaceae
